Geolocation,Major Occupation,Year,Period,Sex,Employed Persons
PHILIPPINES,Total,2018,January,Both Sexes,41755.033
PHILIPPINES,Total,2018,January,Male,25760.205
PHILIPPINES,Total,2018,January,Female,15994.830
PHILIPPINES,Total,2018,April,Both Sexes,40896.371
PHILIPPINES,Total,2018,April,Male,25307.199
PHILIPPINES,Total,2018,April,Female,15589.180
PHILIPPINES,Total,2018,July,Both Sexes,40649.714
PHILIPPINES,Total,2018,July,Male,25081.408
PHILIPPINES,Total,2018,July,Female,15568.303
PHILIPPINES,Total,2018,October,Both Sexes,41325.020
PHILIPPINES,Total,2018,October,Male,25548.426
PHILIPPINES,Total,2018,October,Female,15776.597
PHILIPPINES,Total,2018,Annual,Both Sexes,41156.535
PHILIPPINES,Total,2018,Annual,Male,25424.310
PHILIPPINES,Total,2018,Annual,Female,15732.228
PHILIPPINES,Total,2018,February,Both Sexes,..
PHILIPPINES,Total,2018,February,Male,..
PHILIPPINES,Total,2018,February,Female,..
PHILIPPINES,Total,2018,March,Both Sexes,..
PHILIPPINES,Total,2018,March,Male,..
PHILIPPINES,Total,2018,March,Female,..
PHILIPPINES,Total,2018,May,Both Sexes,..
PHILIPPINES,Total,2018,May,Male,..
PHILIPPINES,Total,2018,May,Female,..
PHILIPPINES,Total,2018,June,Both Sexes,..
PHILIPPINES,Total,2018,June,Male,..
PHILIPPINES,Total,2018,June,Female,..
PHILIPPINES,Total,2018,August,Both Sexes,..
PHILIPPINES,Total,2018,August,Male,..
PHILIPPINES,Total,2018,August,Female,..
PHILIPPINES,Total,2018,September,Both Sexes,..
PHILIPPINES,Total,2018,September,Male,..
PHILIPPINES,Total,2018,September,Female,..
PHILIPPINES,Total,2018,November,Both Sexes,..
PHILIPPINES,Total,2018,November,Male,..
PHILIPPINES,Total,2018,November,Female,..
PHILIPPINES,Total,2018,December,Both Sexes,..
PHILIPPINES,Total,2018,December,Male,..
PHILIPPINES,Total,2018,December,Female,..
PHILIPPINES,Total,2019,January,Both Sexes,40923.710
PHILIPPINES,Total,2019,January,Male,25120.128
PHILIPPINES,Total,2019,January,Female,15803.582
PHILIPPINES,Total,2019,April,Both Sexes,41769.914
PHILIPPINES,Total,2019,April,Male,25678.245
PHILIPPINES,Total,2019,April,Female,16091.684
PHILIPPINES,Total,2019,July,Both Sexes,42520.674
PHILIPPINES,Total,2019,July,Male,25921.774
PHILIPPINES,Total,2019,July,Female,16598.895
PHILIPPINES,Total,2019,October,Both Sexes,42536.932
PHILIPPINES,Total,2019,October,Male,26070.865
PHILIPPINES,Total,2019,October,Female,16466.065
PHILIPPINES,Total,2019,Annual,Both Sexes,41937.808
PHILIPPINES,Total,2019,Annual,Male,25697.753
PHILIPPINES,Total,2019,Annual,Female,16240.057
PHILIPPINES,Total,2019,February,Both Sexes,..
PHILIPPINES,Total,2019,February,Male,..
PHILIPPINES,Total,2019,February,Female,..
PHILIPPINES,Total,2019,March,Both Sexes,..
PHILIPPINES,Total,2019,March,Male,..
PHILIPPINES,Total,2019,March,Female,..
PHILIPPINES,Total,2019,May,Both Sexes,..
PHILIPPINES,Total,2019,May,Male,..
PHILIPPINES,Total,2019,May,Female,..
PHILIPPINES,Total,2019,June,Both Sexes,..
PHILIPPINES,Total,2019,June,Male,..
PHILIPPINES,Total,2019,June,Female,..
PHILIPPINES,Total,2019,August,Both Sexes,..
PHILIPPINES,Total,2019,August,Male,..
PHILIPPINES,Total,2019,August,Female,..
PHILIPPINES,Total,2019,September,Both Sexes,..
PHILIPPINES,Total,2019,September,Male,..
PHILIPPINES,Total,2019,September,Female,..
PHILIPPINES,Total,2019,November,Both Sexes,..
PHILIPPINES,Total,2019,November,Male,..
PHILIPPINES,Total,2019,November,Female,..
PHILIPPINES,Total,2019,December,Both Sexes,..
PHILIPPINES,Total,2019,December,Male,..
PHILIPPINES,Total,2019,December,Female,..
PHILIPPINES,Total,2020,January,Both Sexes,42542.946
PHILIPPINES,Total,2020,January,Male,25859.707
PHILIPPINES,Total,2020,January,Female,16683.244
